num;type;Question;Réponse
1 65;VI;Montrez la commande de réglage de hauteur des feux.;Dispositif en général à gauche du volant.
1 65;QSER;Pourquoi doit-on régler la hauteur des feux ?;Pour ne pas éblouir les autres usagers.
1 65;1er S;Comment et pourquoi protéger une zone de danger en cas d’accident de la route ?;En délimitant clairement et largement la zone de danger de façon visible pour protéger les victimes et éviter un sur-accident.
2;VE;Montrez où s'effectue le remplissage du produit lave-glace.;Le candidat ouvre le capot et montre le bocal. Si le candidat a des difficultés pour ouvrir le capot, l'accompagnateur peut lui indiquer comment procéder.
2;QSER;Pourquoi est-il préférable d'utiliser un liquide spécial en hiver ?;Pour éviter le gel du liquide.
2;1er S;Quels comportements adopter en cas de diffusion du signal d’alerte du Système d’Alerte et d’Information des Populations (SAIP) ?;"- Se mettre en sécurité.
- S'informer grâce aux médias et sites internet des autorités dès que leur consultation est possible.
- Respecter les consignes des autorités."
3 67;VI;"Mettez le rétroviseur intérieur en position ""nuit"". Si le rétroviseur de l'accompagnateur gêne la manipulation du dispositif, l'explication suffit.";"Si le véhicule possède un système automatique de mise en position ""nuit"" du rétroviseur intérieur, le candidat l'indique."
3 67;QSER;Quel est l’intérêt de la position nuit ?;Ne pas être ébloui par les feux du véhicule suiveur.
3 67;1er S;Comment est composé le signal d’alerte du Système d’Alerte et d’Information des Populations (SAIP) diffusé par les sirènes ?;"Il se compose de deux codes distincts :
- le Signal National d’Alerte (SNA), variation du signal sur trois cycles successifs.
- Le signal de fin d’alerte, signal continu."
4 68;VE;Contrôlez l'état du flanc sur l'un des pneumatiques.;En bon état (toute anomalie doit être signalée).
4 68;QSER;Citez un endroit où l'on peut trouver les pressions préconisées pour les pneumatiques ?;"Elles sont indiquées :
- soit sur une plaque sur une portière.
- soit dans la notice d'utilisation du véhicule.
- soit au niveau de la trappe à carburant."
4 68;1er S;Sur autoroute, comment indiquer avec précision les lieux de l’accident depuis un téléphone portable ?;En indiquant le numéro de l’autoroute, le sens de circulation et le point kilométrique.
5 69;VI;Faites fonctionner les essuie-glaces avant du véhicule sur la position la plus rapide.;
5 69;QSER;Comment détecter leur usure en circulation ?;En cas de pluie, lorsqu'ils laissent des traces sur le pare-brise.
5 69;1er S;Comment vérifier la respiration d’une victime ?;Regarder si le ventre et la poitrine se soulèvent et sentir de l’air à l’expiration.
6;VE;Vérifiez l'état et la propreté des plaques d'immatriculation.;Vérification des plaques à l'avant et à l'arrière, propres et en bon état (toute anomalie doit être signalée).
6;QSER;Quelles sont les précautions à prendre en cas d'installation d'un porte-vélo ?;La plaque d'immatriculation et les feux doivent être visibles.
6;1er S;Qu’est-ce qu’une perte de connaissance ?;C’est lorsque la victime ne répond pas et ne réagit pas mais respire.
7 71;VI;Vérifiez la présence du gilet de haute visibilité.;"Le candidat doit indiquer où il se trouve sans obligation de le sortir. Le terme "" gilet jaune"" peut être utilisé si le candidat ne comprend pas."
7 71;QSER;En cas de panne ou d'accident, quel autre accessoire de sécurité est obligatoire ?;Le triangle de pré-signalisation.
7 71;1er S;Si un dégagement d'urgence de la victime est nécessaire, où doit- elle être déplacée ?;Dans un endroit suffisamment éloigné du danger et de ses conséquences.
8 70;VE;Montrez où s'effectue le contrôle du niveau du liquide de frein.;Le candidat montre que le niveau est entre le mini et le maxi. Si le candidat a des difficultés pour ouvrir le capot, l'accompagnateur peut lui indiquer comment procéder.
8 70;QSER;Quelle est la conséquence d'un niveau insuffisant du liquide de frein ?;Une perte d'efficacité du freinage.
8 70;1er S;En cas de panne ou d’accident, quel équipement de sécurité doit être porté avant de quitter le véhicule ?;"Il faut porter le gilet de haute visibilité avant de sortir du véhicule. Le terme "" gilet jaune"" peut être utilisé par le candidat."
9;VI;Vérifiez la présence du certificat d'immatriculation du véhicule (ou carte grise).;La photocopie est acceptée.
9;QSER;Quels sont les deux autres documents obligatoires à présenter en cas de contrôle par les forces de l'ordre ?;L’attestation d'assurance et le permis de conduire.
9;1er S;Pourquoi l’alerte auprès des services de secours doit-elle être rapide et précise ?;Pour permettre aux services de secours d'apporter les moyens adaptés aux victimes dans le délai le plus court.
10;VE;Contrôlez l'état de tous les balais d'essuie-glace du véhicule.;
10;QSER;Quel est le risque de circuler avec des balais d'essuie-glace défectueux ?;Une mauvaise visibilité en cas d'intempéries.
10;;;
10;;;
11;VI;Montrez l'indicateur de niveau de carburant.;
11;QSER;Quelles sont les précautions à prendre lors du remplissage du réservoir ?;Arrêter le moteur, ne pas fumer, ne pas téléphoner.
11;;;
12 72;VE;Montrez où s'effectue le remplissage du liquide de refroidissement.;Le candidat ouvre le capot et montre le bocal. Si le candidat a des difficultés pour ouvrir le capot, l'accompagnateur peut lui indiquer comment procéder.
12 72;QSER;Quel est le danger si l'on complète le niveau du liquide lorsque le moteur est chaud ?;Un risque de brûlure.
12 72;;;
13 73;VI;Actionnez le dégivrage de la lunette arrière et montrez le voyant ou le repère correspondant.;
13 73;QSER;Quelle peut être la conséquence d'une panne de dégivrage de la lunette arrière ?;Une insuffisance ou une absence de visibilité vers l'arrière.
13 73;;;
14 74;VE;Contrôlez l'état, la propreté et le fonctionnement de tous les clignotants côté trottoir.;Vérification des clignotants propres, en bon état et fonctionnent (toute anomalie doit être signalée).
14 74;QSER;Quelle est la signification d'un clignotement plus rapide ?;Non fonctionnement de l'une des ampoules.
14 74;;;
14 74;;;
15 75;VI;Montrez le voyant d'alerte signalant une pression insuffisante d'huile dans le moteur.;
15 75;1er S;Quelles sont les trois informations à transmettre aux services de secours ?;Le numéro de téléphone à partir duquel l’appel est émis, la nature et la localisation la plus précise du problème.
15 75;;;
16;VE;Contrôlez l'état, la propreté et le fonctionnement du ou des feux de brouillard arrière.;Vérification des feux, propres, en bon état et fonctionnent (toute anomalie doit être signalée).
16;1er S;Par quels moyens doit être réalisée l’alerte des secours ?;L’alerte doit être donnée à l’aide d’un téléphone portable ou, à défaut, d’un téléphone fixe ou d’une borne d’appel d’urgence.
16;;;
17 77;VI;Vérifiez la présence de l’éthylotest.;
17 77;1er S;Quel comportement doit-on adopter en présence d’une victime en arrêt cardiaque ?;"- ALERTER: alerter immédiatement les secours.
- MASSER: pratiquer une réanimation cardio- pulmonaire.
- DEFIBRILLER: utiliser un défibrillateur automatique (DAE) si possible."
17 77;;;
18 76;VE;Contrôlez l'état, la propreté et le fonctionnement des feux de détresse à l'avant et à l'arrière.;Vérification des feux, propres, en bon état et fonctionnent (toute anomalie doit être signalée).
18 76;1er S;Dans quel cas peut-on positionner une victime en Position Latérale de Sécurité (PLS) ?;Si la victime ne répond pas, ne réagit pas et respire.
18 76;;;
19;VI;Montrez la commande de réglage du volant.;Le candidat montre l'emplacement. Il ne lui est pas demandé de changer son réglage.
19;1er S;Dans quelle situation peut-on déplacer une victime ?;En présence d’un danger réel, immédiat, non contrôlable. Le déplacement de la victime doit rester exceptionnel.
19;;;
20 78;VE;Contrôlez l'état, la propreté et le fonctionnement des feux de route.;Vérification des feux, propres, en bon état et fonctionnent (toute anomalie doit être signalée).
20 78;1er S;En cas de panne ou d’accident, quel équipement de sécurité doit être porté avant de quitter le véhicule ?;"Il faut porter le gilet de haute visibilité avant de sortir du véhicule. Le terme ""gilet jaune"" peut être utilisé par le candidat."
20 78;;;
21 79;VI;Positionnez la commande pour diriger l'air vers le pare-brise.;La position auto (désembuage automatique) peut être utilisée si le véhicule en est équipé.
21 79;1er S;Quel est l’objectif du Signal d’Alerte et d’Information des Populations (SAIP) ?;Avertir la population d’un danger imminent ou qu’un événement grave est en train de se produire.
21 79;;;
22 80;VE;Montrez où doit s'effectuer le contrôle du niveau d'huile moteur.;Le candidat montre la jauge. Pas de manipulation exigée. Si le candidat a des difficultés pour ouvrir le capot, l'accompagnateur peut lui indiquer comment procéder.
22 80;1er S;Comment est diffusée l’alerte émise par le Signal d’Alerte et d’Information aux Populations (SAIP) ?;Grâce aux sirènes, aux médias tels que Radio France et France Télévision ou encore grâce à l’application SAIP.
22 80;;;
23;VI;Montrez le voyant d'alerte signalant un défaut de batterie.;
23;1er S;A partir de quel âge peut-on suivre une formation aux premiers secours ?;A partir de 10 ans.
23;;;
24;VE;Montrez l'emplacement de la batterie du véhicule.;Si le candidat a des difficultés pour ouvrir le capot, l'accompagnateur peut lui indiquer comment procéder.
24;1er S;Pourquoi faut-il pratiquer immédiatement une réanimation cardio-pulmonaire sur une victime en arrêt cardiaque ?;Car les lésions du cerveau, surviennent dès les premières minutes.
24;;;
25;VI;De quelle couleur est le voyant qui indique une défaillance du système de freinage ?;
25;1er S;Hors autoroute ou endroit dangereux, en cas de panne ou d’accident, où doit être placé le triangle de pré-signalisation ?;Le triangle de pré-signalisation doit être placé à une distance d’environ 30 m de la panne ou de l’accident, ou avant un virage, ou un sommet de côte.
25;;;
26 82;VE;Contrôlez l'état, la propreté et le fonctionnement des feux de croisement.;Vérification des feux, propres, en bon état et fonctionnent (toute anomalie doit être signalée).
26 82;1er S;Dans quelle situation peut-on déplacer une victime ?;En présence d’un danger réel, immédiat, non contrôlable. Le déplacement de la victime doit rester exceptionnel.
26 82;;;
27 83;VI;Montrez le voyant d'alerte signalant une température trop élevée du liquide de refroidissement.;
27 83;1er S;Lors d’un appel avec les services de secours, pourquoi devez-vous attendre que votre correspondant vous autorise à raccrocher ?;Car il peut nous conseiller ou nous guider dans la réalisation des gestes à faire, ou ne pas faire, jusqu’à l’arrivée des secours.
27 83;;;
28;VE;Vérifiez l'état et la propreté des dispositifs réfléchissants.;Vérification des dispositifs, propres et en bon état (toute anomalie doit être signalée).
28;1er S;A quel moment pouvez-vous mettre fin à un appel avec les secours ?;Uniquement lorsque notre correspondant nous invite à le faire.
28;;;
29;VI;Montrez le voyant signalant la mauvaise fermeture d'une portière.;
29;1er S;Citez les trois manières d’évaluer l’état de conscience d’une victime.;"- Lui poser des questions simples (""comment ça va ?"", ""vous m'entendez ?"").
- Lui secouer doucement les épaules.
- Lui prendre la main en lui demandant d'exécuter un geste simple (""serrez-moi la main"")."
29;;;
30;VE;Contrôlez l'état, la propreté et le fonctionnement des feux de position à l'avant et à l'arrière du véhicule.;Vérification des feux, propres, en bon état et fonctionnent (toute anomalie doit être signalée).
30;1er S;Quels sont les risques pour une personne en perte de connaissance qui est allongée sur le dos ?;L’arrêt respiratoire et l’arrêt cardiaque.
30;;;
31 85;VI;Actionnez les feux de détresse.;
31 85;1er S;Quels comportements adopter en cas de diffusion du signal d’alerte du Système d’Alerte et d’Information des Populations (SAIP) ?;"- Se mettre en sécurité.
- S'informer grâce aux médias et sites internet des autorités dès que leur consultation est possible.
- Respecter les consignes des autorités."
31 85;;;
32 84;VE;Sur le flanc d’un pneumatique, désignez le repère du témoin d'usure de la bande de roulement.;
32 84;1er S;Si un dégagement d'urgence de la victime est nécessaire, où doit- elle être déplacée ?;Dans un endroit suffisamment éloigné du danger et de ses conséquences.
32 84;;;
33;VI;Montrez la commande permettant d’actionner le régulateur de vitesse.;
33;1er S;Sur autoroute, comment indiquer avec précision les lieux de l’accident depuis un téléphone portable ?;En indiquant le numéro de l’autoroute, le sens de circulation et le point kilométrique.
33;;;
34;VE;Ouvrez la trappe à carburant et/ou vérifiez la bonne fermeture du bouchon.;
34;1er S;Pourquoi l’alerte auprès des services de secours doit-elle être rapide et précise ?;Pour permettre aux services de secours d'apporter les moyens adaptés aux victimes dans le délai le plus court.
34;;;
35;VI;Sans l'actionner, montrez la commande de l'avertisseur sonore.;
